40.113.118.83 - - [24/Oct/2024:06:57:46 +0000] "GET / HTTP/1.1" 200 296 "-" "curl/8.6.0" "-"
162.216.150.72 - - [24/Oct/2024:07:24:26 +0000] "GET / HTTP/1.1" 200 296 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com" "-"
82.65.31.116 - - [24/Oct/2024:07:35:33 +0000] "GET / HTTP/1.1" 200 296 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0" "-"
82.65.31.116 - - [24/Oct/2024:07:35:33 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "https://jhennebo.be/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0" "-"
82.65.31.116 - - [24/Oct/2024:07:35:42 +0000] "GET / HTTP/1.1" 200 296 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0" "-"
82.65.31.116 - - [24/Oct/2024:07:35:42 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "https://jhennebo.be/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0" "-"
82.65.31.116 - - [24/Oct/2024:07:35:43 +0000] "GET / HTTP/1.1" 200 296 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0" "-"
82.65.31.116 - - [24/Oct/2024:07:35:43 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "https://jhennebo.be/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0" "-"
217.160.234.181 - - [24/Oct/2024:07:37:10 +0000] "GET / HTTP/1.1" 200 296 "-" "curl/7.81.0" "-"
82.65.31.116 - - [24/Oct/2024:07:43:47 +0000] "GET / HTTP/1.1" 200 296 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0" "-"
45.156.129.54 - - [24/Oct/2024:07:52:42 +0000] "GET / HTTP/1.1" 200 296 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36" "-"
217.160.234.181 - - [24/Oct/2024:08:32:20 +0000] "GET / HTTP/1.1" 200 296 "-" "curl/7.81.0" "-"
217.160.234.181 - - [24/Oct/2024:08:32:30 +0000] "GET /wordpress1 HTTP/1.1" 301 169 "-" "curl/7.81.0" "-"
20.105.137.134 - - [24/Oct/2024:08:32:40 +0000] "GET / HTTP/1.1" 200 296 "-" "curl/8.6.0" "-"
